Publication Year,Filing Year,Document Count
1952.0,1950.0,1
1953.0,1950.0,1
1955.0,1950.0,1
1957.0,1956.0,1
1958.0,1953.0,1
1961.0,1955.0,1
1969.0,1965.0,1
1969.0,1967.0,1
1969.0,1968.0,1
1970.0,1968.0,1
1972.0,1971.0,1
1973.0,1972.0,1
1977.0,1976.0,1
1977.0,1977.0,1
1978.0,1976.0,1
1979.0,1976.0,1
1979.0,1978.0,1
1980.0,1976.0,1
1982.0,1973.0,1
1982.0,1981.0,1
1983.0,1982.0,3
1985.0,1981.0,1
1985.0,1985.0,1
1986.0,1985.0,1
1987.0,1985.0,1
1987.0,1986.0,2
1987.0,1987.0,1
1989.0,1974.0,1
1989.0,1987.0,1
1989.0,1988.0,1
1990.0,1989.0,2
1991.0,1989.0,1
1991.0,1991.0,4
1992.0,1983.0,1
1992.0,1987.0,1
1992.0,1988.0,1
1992.0,1990.0,1
1992.0,1991.0,1
1993.0,1987.0,1
1993.0,1989.0,1
1993.0,1990.0,3
1993.0,1991.0,3
1993.0,1992.0,3
1993.0,1993.0,3
1994.0,1992.0,3
1994.0,1993.0,3
1995.0,1982.0,1
1995.0,1992.0,3
1995.0,1993.0,3
1995.0,1994.0,5
1996.0,1991.0,1
1996.0,1992.0,1
1996.0,1994.0,2
1996.0,1995.0,2
1996.0,1996.0,1
1997.0,1989.0,1
1997.0,1993.0,2
1997.0,1994.0,1
1997.0,1995.0,3
1997.0,1996.0,5
1997.0,1997.0,1
1998.0,1991.0,1
1998.0,1992.0,1
1998.0,1993.0,2
1998.0,1994.0,1
1998.0,1995.0,1
1998.0,1996.0,1
1998.0,1997.0,4
1998.0,1998.0,3
1999.0,1989.0,1
1999.0,1994.0,1
1999.0,1997.0,2
1999.0,1998.0,4
1999.0,1999.0,1
2000.0,1994.0,2
2000.0,1997.0,1
2000.0,1998.0,4
2000.0,1999.0,6
2000.0,2000.0,2
2001.0,1994.0,1
2001.0,1997.0,2
2001.0,1999.0,2
2001.0,2000.0,4
2001.0,2001.0,2
2002.0,1994.0,1
2002.0,2000.0,1
2002.0,2001.0,7
2002.0,2002.0,3
2003.0,1994.0,2
2003.0,1997.0,1
2003.0,1998.0,1
2003.0,1999.0,1
2003.0,2000.0,2
2003.0,2001.0,1
2003.0,2002.0,4
2003.0,2003.0,3
2004.0,1994.0,2
2004.0,1998.0,2
2004.0,1999.0,1
2004.0,2002.0,1
2004.0,2003.0,6
2004.0,2004.0,1
2005.0,1997.0,1
2005.0,2004.0,11
2005.0,2005.0,3
2006.0,2000.0,1
2006.0,2003.0,2
2006.0,2004.0,7
2006.0,2005.0,2
2006.0,2006.0,3
2007.0,1994.0,1
2007.0,2000.0,1
2007.0,2004.0,1
2007.0,2005.0,3
2007.0,2006.0,11
2007.0,2007.0,1
2008.0,1994.0,1
2008.0,1997.0,1
2008.0,2004.0,1
2008.0,2005.0,1
2008.0,2006.0,6
2008.0,2007.0,16
2008.0,2008.0,5
2009.0,2004.0,1
2009.0,2006.0,2
2009.0,2007.0,4
2009.0,2008.0,13
2009.0,2009.0,14
2010.0,2002.0,1
2010.0,2003.0,1
2010.0,2005.0,1
2010.0,2007.0,2
2010.0,2008.0,5
2010.0,2009.0,19
2010.0,2010.0,7
2011.0,2001.0,1
2011.0,2004.0,1
2011.0,2005.0,1
2011.0,2006.0,2
2011.0,2007.0,1
2011.0,2008.0,1
2011.0,2009.0,2
2011.0,2010.0,10
2011.0,2011.0,11
2012.0,2004.0,2
2012.0,2005.0,1
2012.0,2006.0,1
2012.0,2008.0,1
2012.0,2009.0,1
2012.0,2010.0,12
2012.0,2011.0,15
2012.0,2012.0,5
2013.0,2005.0,1
2013.0,2007.0,2
2013.0,2009.0,2
2013.0,2010.0,4
2013.0,2011.0,17
2013.0,2012.0,9
2013.0,2013.0,9
2014.0,2005.0,1
2014.0,2006.0,1
2014.0,2008.0,1
2014.0,2009.0,1
2014.0,2010.0,2
2014.0,2011.0,1
2014.0,2012.0,9
2014.0,2013.0,11
2014.0,2014.0,16
2015.0,2009.0,1
2015.0,2010.0,1
2015.0,2011.0,2
2015.0,2012.0,2
2015.0,2013.0,11
2015.0,2014.0,17
2015.0,2015.0,9
2016.0,2008.0,1
2016.0,2010.0,1
2016.0,2011.0,1
2016.0,2013.0,3
2016.0,2014.0,12
2016.0,2015.0,10
2016.0,2016.0,10
2017.0,2000.0,1
2017.0,2001.0,1
2017.0,2002.0,1
2017.0,2008.0,1
2017.0,2009.0,1
2017.0,2010.0,5
2017.0,2012.0,1
2017.0,2014.0,5
2017.0,2015.0,17
2017.0,2016.0,14
2017.0,2017.0,9
2018.0,2009.0,1
2018.0,2011.0,1
2018.0,2012.0,3
2018.0,2013.0,6
2018.0,2014.0,3
2018.0,2015.0,3
2018.0,2016.0,14
2018.0,2017.0,9
2018.0,2018.0,6
2019.0,2006.0,1
2019.0,2010.0,2
2019.0,2011.0,3
2019.0,2013.0,2
2019.0,2014.0,4
2019.0,2015.0,5
2019.0,2016.0,4
2019.0,2017.0,9
2019.0,2018.0,12
2019.0,2019.0,3
2020.0,2009.0,1
2020.0,2010.0,1
2020.0,2011.0,1
2020.0,2014.0,1
2020.0,2015.0,4
2020.0,2016.0,2
2020.0,2017.0,2
2020.0,2018.0,16
2020.0,2019.0,16
2020.0,2020.0,6
2021.0,2012.0,1
2021.0,2014.0,1
2021.0,2015.0,4
2021.0,2016.0,1
2021.0,2017.0,2
2021.0,2018.0,9
2021.0,2019.0,17
2021.0,2020.0,15
2021.0,2021.0,8
2022.0,2014.0,2
2022.0,2016.0,1
2022.0,2017.0,2
2022.0,2018.0,4
2022.0,2019.0,8
2022.0,2020.0,6
2022.0,2021.0,24
2022.0,2022.0,18
2023.0,2016.0,1
2023.0,2017.0,2
2023.0,2018.0,3
2023.0,2019.0,7
2023.0,2020.0,2
2023.0,2021.0,22
2023.0,2022.0,48
2023.0,2023.0,42
2024.0,2017.0,2
2024.0,2021.0,2
2024.0,2022.0,7
2024.0,2023.0,21
